StudentID, TotalNumberOfSemestersRegistered, Semester, NumCoursesTakenInTheSemester
0001, 14, 1, 3
0001, 14, 2, 0
0001, 14, 3, 0
0001, 14, 4, 0
0001, 14, 5, 0
0001, 14, 6, 0
0001, 14, 7, 0
0001, 14, 8, 0
0001, 14, 9, 0
0001, 14, 10, 0
0001, 14, 11, 0
0001, 14, 12, 0
0001, 14, 13, 0
0001, 14, 14, 0
0002, 10, 1, 3
0002, 10, 2, 0
0002, 10, 3, 0
0002, 10, 4, 0
0002, 10, 5, 0
0002, 10, 6, 0
0002, 10, 7, 0
0002, 10, 8, 0
0002, 10, 9, 0
0002, 10, 10, 0
0003, 11, 1, 1
0003, 11, 2, 0
0003, 11, 3, 0
0003, 11, 4, 0
0003, 11, 5, 0
0003, 11, 6, 0
0003, 11, 7, 0
0003, 11, 8, 0
0003, 11, 9, 0
0003, 11, 10, 0
0003, 11, 11, 0
0004, 17, 1, 10
0004, 17, 2, 0
0004, 17, 3, 0
0004, 17, 4, 0
0004, 17, 5, 0
0004, 17, 6, 0
0004, 17, 7, 0
0004, 17, 8, 0
0004, 17, 9, 0
0004, 17, 10, 0
0004, 17, 11, 0
0004, 17, 12, 0
0004, 17, 13, 0
0004, 17, 14, 0
0004, 17, 15, 0
0004, 17, 16, 0
0004, 17, 17, 0
0005, 8, 1, 8
0005, 8, 2, 0
0005, 8, 3, 0
0005, 8, 4, 0
0005, 8, 5, 0
0005, 8, 6, 0
0005, 8, 7, 0
0005, 8, 8, 0
0006, 10, 1, 11
0006, 10, 2, 0
0006, 10, 3, 0
0006, 10, 4, 0
0006, 10, 5, 0
0006, 10, 6, 0
0006, 10, 7, 0
0006, 10, 8, 0
0006, 10, 9, 0
0006, 10, 10, 0
0007, 14, 1, 1
0007, 14, 2, 0
0007, 14, 3, 0
0007, 14, 4, 0
0007, 14, 5, 0
0007, 14, 6, 0
0007, 14, 7, 0
0007, 14, 8, 0
0007, 14, 9, 0
0007, 14, 10, 0
0007, 14, 11, 0
0007, 14, 12, 0
0007, 14, 13, 0
0007, 14, 14, 0
0008, 12, 1, 8
0008, 12, 2, 0
0008, 12, 3, 0
0008, 12, 4, 0
0008, 12, 5, 0
0008, 12, 6, 0
0008, 12, 7, 0
0008, 12, 8, 0
0008, 12, 9, 0
0008, 12, 10, 0
0008, 12, 11, 0
0008, 12, 12, 0
0009, 13, 1, 1
0009, 13, 2, 0
0009, 13, 3, 0
0009, 13, 4, 0
0009, 13, 5, 0
0009, 13, 6, 0
0009, 13, 7, 0
0009, 13, 8, 0
0009, 13, 9, 0
0009, 13, 10, 0
0009, 13, 11, 0
0009, 13, 12, 0
0009, 13, 13, 0
0010, 11, 1, 1
0010, 11, 2, 0
0010, 11, 3, 0
0010, 11, 4, 0
